"","policyid","latitude","longitude","building_limit","site_deductible","construction","year_built","num_stories","basement","elev_ft","first_floor_elev_ft","rel_elev_ft","floodzone","pre_firm","distance_to_river_ft","stream_order","rand_uni","training","estimated_LR_A","estimated_LR_B"
"74",104916,30.20501701,-81.95569765,207000,1000,"Wood",2015,2,FALSE,89,1,2.3,"X",FALSE,2809,1,0.000624773325398564,1,0.456721772750804,1.11607674172714
"75",104917,30.205334089,-81.95412712,260000,1000,"Wood",2015,2,FALSE,89,3,2.7,"A",FALSE,3045,1,0.475316574098542,1,0.0499479831352347,0.710500708921818
"76",104918,30.207436203,-81.95143989,202000,1000,"Wood",2014,2,FALSE,89,3,3.5,"A",FALSE,4080,1,0.220118885161355,1,0.0509423095677238,0.733729670664446
"77",104919,30.208095713,-81.95105848,222000,1000,"Wood",2014,1,FALSE,89,1,3.6,"A",FALSE,4349,1,0.379816537722945,1,0.0932863225545628,1.27064942725335
"78",104920,30.207571112,-81.95200605,202000,1000,"Wood",2014,1,FALSE,89,1,3.3,"A",FALSE,4048,1,0.612771003274247,1,0.0940324237582916,1.25541935160356
"79",104921,30.206365763,-81.95339592,206000,500,"Wood",2015,1,FALSE,89,1,2.9,"A",FALSE,3476,1,0.351797909243032,1,0.0901826207197065,1.23939161116452
"80",104922,30.205761758,-81.95445874,505000,1000,"Wood",2015,2,FALSE,89,1,2.6,"X",FALSE,3162,1,0.111135424347594,1,0.435083579377472,1.17662578460193
"81",104923,30.206283808,-81.95428325,222000,1000,"Wood",2015,1,FALSE,89.1,1,2.7,"X",FALSE,3359,1,0.243619472719729,1,0.496963846229829,1.18597466351185
"82",104924,30.206978539,-81.95307403,187000,1000,"Wood",2015,1,FALSE,89,1,3,"X",FALSE,3720,1,0.66805558744818,1,0.52241016849454,1.24298556375943
"83",104925,30.2078016,-81.95224472,204000,500,"Wood",2014,1,FALSE,89,1,3.3,"X",FALSE,4095,1,0.417646779678762,1,0.495020304735379,1.25536752564616
"84",104926,30.202265881,-81.98961246,169000,1000,"Masonry",1945,1,FALSE,89,3,1,"X",TRUE,3337,1,0.788195834029466,1,0.319206275584994,0.496876799306439
"85",104927,30.201635608,-82.04320951,170000,1000,"Wood",1937,1,FALSE,145.3,3,4.8,"X",TRUE,1349,1,0.102864644257352,1,0.0171822235816743,0.0451305720290296
"86",104928,30.194620588,-82.01463575,217000,1000,"Masonry",1960,1,FALSE,86.3,1,-5.6,"X",TRUE,438,2,0.434892741497606,1,1.10360765535929,0.38464198965599
"87",104929,30.187642942,-82.01489828,343000,1000,"Wood",1990,1,FALSE,86.5,1,-5.9,"X",FALSE,933,2,0.984956979984418,NA,0.0951611623544561,0.0301557348508349
"88",104930,30.203324286,-82.01562086,174000,1000,"Masonry",1963,1,FALSE,89.1,1,-2.9,"X",TRUE,760,2,0.893051114398986,NA,1.05648742978592,0.686864694585517
"89",104931,30.441310428,-81.85035538,332000,1000,"Wood",1981,2,FALSE,54.4,1,5.6,"X",FALSE,3063,1,0.886469060787931,NA,0.702698024348909,2.10488822028536
"90",104932,30.338156008,-81.87613957,287000,1000,"Wood",1965,2,FALSE,75.4,1,-8.2,"X",TRUE,542,2,0.175052650272846,1,2.00040299199297,0.689783410945288
"91",104933,30.339995501,-81.87157955,206000,2500,"Masonry",1965,1,TRUE,72.5,3.5,-11.9,"A",TRUE,193,3,0.130695691565052,1,0.969224303744121,0.743373673016335
"92",104934,30.339399921,-81.87757013,174000,2500,"Wood",1935,1,FALSE,74.9,3,-8.8,"X",TRUE,30,2,0.653101925039664,1,2.79301263302907,0.245216041124402
"93",104935,30.334894747,-81.8564931,210000,1000,"Masonry",1966,1,FALSE,87.4,3,5.3,"X",TRUE,2037,3,0.343516472261399,1,0.0153495424326431,0.0408425603623727
"94",104936,30.339687768,-81.85291236,256000,1000,"Wood",2008,2,FALSE,92.7,1,9.5,"X",FALSE,2694,1,0.656758127966896,1,0.0854246822798929,0.29656470485895
"95",104937,30.338854966,-81.85164553,207000,2500,"Wood",1994,1,FALSE,88.7,3,6.4,"X",FALSE,2202,1,0.320373242488131,1,0.0740030152416778,0.179697296387921
"96",104938,30.337428797,-81.84908127,359000,500,"Wood",1993,1,FALSE,85.8,3,3.6,"X",FALSE,1258,1,0.187691119266674,1,0.0606756037225797,0.165290985161936
"97",104939,30.336546142,-81.85034066,280000,1000,"Wood",1983,2,FALSE,89,1,6.8,"X",FALSE,1584,1,0.782294301316142,1,0.0999092970181232,0.324174532040665
"98",104940,30.337439392,-81.85263125,225000,1000,"Masonry",1987,1,FALSE,91,1,8.4,"X",FALSE,2347,1,0.0935949867125601,1,0.0889664844416535,0.271538564801756
"99",104941,30.334091707,-81.84979913,210000,1000,"Wood",1978,2,FALSE,87.4,1,5,"X",FALSE,1521,1,0.46677904156968,1,0.0867091893025573,0.256882765120918
"100",104942,30.335783107,-81.85350949,293000,1000,"Wood",2001,2,FALSE,90.9,1,8.5,"X",FALSE,2560,1,0.511505459900945,1,0.0847450634020103,0.286068269683982
"101",104943,30.33033072,-81.84985925,286000,1000,"Wood",2003,1,FALSE,83.7,1,2.4,"X",FALSE,2363,1,0.59998895926401,1,0.113158127991638,0.270063021867548
"102",104944,30.3291943,-81.85523345,255000,1000,"Masonry",2003,2,FALSE,81.1,1,0.5,"X",FALSE,1598,3,0.332823540316895,1,0.028555684390621,0.0467752590888282
"103",104945,30.329905876,-81.85397099,308000,1000,"Masonry",2003,1,FALSE,84.4,1,3.4,"X",FALSE,2041,3,0.488613033667207,1,0.0869197063906555,0.223708506242586
"104",104946,30.329957775,-81.85130285,222000,1000,"Wood",2005,1,FALSE,85.2,3,3.9,"X",FALSE,2779,1,0.954473827499896,NA,0.0524569060007064,0.129860720129419
"105",104947,30.329231312,-81.85106728,224000,1000,"Wood",2004,2,FALSE,85,1,3.9,"X",FALSE,2617,2,0.4829023971688,1,0.10147426205292,0.278994057206399
"106",104948,30.329362725,-81.84963392,288000,1000,"Wood",2003,2,FALSE,84.4,1,3.1,"X",FALSE,2256,1,0.890350222121924,NA,0.0847781922688202,0.232000588226893
"107",104949,30.329249325,-81.85307184,267000,1000,"Wood",2003,2,FALSE,83.9,1,2.8,"X",FALSE,2269,3,0.914438186911866,NA,0.088632804210364,0.238384868493515
"108",104950,30.327282827,-81.8489323,212000,1000,"Wood",2005,2,FALSE,84.1,1,3.6,"X",FALSE,1772,2,0.608734982321039,1,0.109473042586497,0.303741898861474
"109",104951,30.32390942,-81.85321551,383000,1000,"Wood",2006,2,FALSE,78,1,-1,"X",FALSE,1183,2,0.410689776530489,1,0.105547138867688,0.123721121747802
"110",104952,30.323822989,-81.85524261,270000,1000,"Masonry",2005,1,FALSE,72.3,1,-6.8,"X",FALSE,1028,3,0.147094690939412,1,0.0876345734920364,0.0265314819402898
"111",104953,30.32389838,-81.85562243,245000,1000,"Masonry",2006,1,FALSE,70.7,1,-8,"X",FALSE,923,3,0.935299803270027,NA,0.0973168752391278,0.0294732012277743
"112",104954,30.325221673,-81.85476929,273000,1000,"Wood",2005,2,FALSE,76.4,3,-2.6,"X",FALSE,1328,3,0.301228899974376,1,0.0556427247763997,0.0417708461994156
"113",104955,30.32656752,-81.85430775,266000,1000,"Masonry",2005,1,FALSE,80.2,1,-0.3,"X",FALSE,1546,3,0.0607205715496093,1,0.0323677157802698,0.0400526634586743
"114",104956,30.326235705,-81.85315465,291000,2500,"Wood",2005,1,FALSE,82.3,1,1.9,"X",FALSE,1853,2,0.947726940037683,NA,0.0388676469625971,0.0758814016818723
"115",104957,30.32458458,-81.85100128,313000,1000,"Wood",2005,2,FALSE,83.8,3,3.8,"X",FALSE,984,2,0.720596273429692,1,0.045316412016049,0.133209718437515
"116",104958,30.325603327,-81.85407324,281000,1000,"Wood",2005,2,FALSE,78.7,1,-0.3,"X",FALSE,1580,3,0.142294295597821,1,0.0935132456950167,0.126130222576883
"117",104959,30.32659453,-81.85206274,254000,1000,"Wood",2005,1,FALSE,84.1,1,3.5,"X",FALSE,1788,2,0.549284656066448,1,0.0357068320293719,0.0919386110922278
"118",104960,30.326822834,-81.85194583,272000,1000,"Wood",2006,2,FALSE,84.1,1,3.6,"X",FALSE,1849,2,0.95409123855643,NA,0.0850547238789496,0.239742346059543
"119",104961,30.324944183,-81.85153379,232000,1000,"Wood",2005,2,FALSE,83.7,1,3.6,"X",FALSE,1179,2,0.585483353119344,1,0.0317336732152035,0.0911020310097382
"120",104962,30.325887187,-81.8508006,282000,1000,"Wood",2005,1,FALSE,84.2,1,4.3,"X",FALSE,1409,2,0.404510281747207,1,0.0961477815333453,0.261519305948888
"121",104963,30.333897343,-81.85396971,231000,1000,"Masonry",1978,1,FALSE,89.3,1,7.4,"X",FALSE,2639,3,0.64789347932674,1,0.11236071669116,0.327562984398495
"122",104964,30.333905957,-81.85127176,194000,2500,"Masonry",1978,1,FALSE,88.7,1,6.4,"X",FALSE,1977,1,0.319820617092773,1,0.103254141046669,0.252959016228713
"123",104965,30.321558298,-81.86324554,330000,1000,"Masonry",1986,1,FALSE,73.7,1,-5,"X",FALSE,1628,3,0.307720010867342,1,0.0319475622347998,0.0122175077992244
"124",104966,30.32023582,-81.86495137,283000,1000,"Masonry",2008,1,FALSE,80.7,1,2.3,"X",FALSE,2289,3,0.219767631264403,1,0.103075124707948,0.240224319688047
"125",104967,30.32834593,-81.86138411,237000,1000,"Wood",1988,1,FALSE,64.5,3.5,-15.2,"A",FALSE,365,3,0.369488865835592,1,2.32673862795964,4.12438484314752
"126",104968,30.330965772,-81.85472389,254000,1000,"Masonry",1985,1,FALSE,84.5,1,3.3,"X",FALSE,1903,3,0.984219203470275,NA,0.0879799733374873,0.22379687164708
"127",104969,30.330712032,-81.85581895,176000,1000,"Masonry",1975,1,FALSE,84.1,1,2.1,"X",TRUE,1546,3,0.154202300822362,1,0.0907455758186638,0.198603065488376
"128",104970,30.330577577,-81.8563843,146000,2500,"Wood",1991,1,FALSE,81.9,3,0.7,"X",FALSE,1362,3,0.0910439998842776,1,0.0754609567724012,0.0938913621723141
"129",104971,30.332431791,-81.85349684,159000,1000,"Masonry",1974,1,FALSE,87.4,1,5.7,"X",TRUE,2471,3,0.141906907781959,1,0.0919974423905315,0.242914029195943
"130",104972,30.331513258,-81.85648986,162000,2500,"Masonry",1973,1,FALSE,83.7,1,2.1,"X",TRUE,1487,3,0.690007101511583,1,0.108057856116662,0.199226710847133
"131",104973,30.323873649,-81.86460351,279000,2500,"Wood",2006,2,FALSE,77.2,1,-1.7,"X",FALSE,1774,3,0.619256483390927,1,0.110101269994405,0.0940589296360494
"132",104974,30.331213933,-81.86161717,318000,1000,"Wood",1987,1,FALSE,69.9,1,-12,"X",FALSE,120,3,0.891394117148593,NA,5.500211702963,0.599646950777687
"133",104975,30.322121637,-81.86683944,184000,1000,"Masonry",1983,1,FALSE,89.8,1,10.8,"X",FALSE,2642,3,0.672999092610553,1,0.0333192871570565,0.109181951507607
"134",104976,30.331333297,-81.86832744,354000,2500,"Masonry",2006,1,FALSE,84.7,1,3.2,"X",FALSE,1764,3,0.737077737925574,1,0.0930506447423239,0.224072087243452
"135",104977,30.332548345,-81.8701339,201000,1000,"Wood",1978,1,FALSE,84.1,1,1.4,"X",FALSE,2303,3,0.521135725779459,1,0.0364520715675562,0.0659754499540282
"136",104978,30.327906736,-81.86991483,194000,1000,"Masonry",1992,1,FALSE,90.1,1,9.4,"X",FALSE,2702,3,0.65983844967559,1,0.0934991909055476,0.290630950661031
"137",104979,30.325906725,-81.87316409,360000,1000,"Wood",2006,2,FALSE,90.7,1,10.2,"X",FALSE,2019,1,0.821805460145697,NA,0.0837036144530259,0.310817716738382
"138",104980,30.326826883,-81.88457994,154000,1000,"Masonry",1989,1,FALSE,84.9,1,1.8,"X",FALSE,1389,1,0.786281551700085,1,0.0921057103299157,0.185524420265725
"139",104981,30.32851172,-81.89835448,269000,2500,"Wood",1968,1,FALSE,86.2,1,2.9,"X",TRUE,2867,1,0.979821917368099,NA,0.153786388322716,0.340527170946591
"140",104982,30.327763794,-81.89964469,138000,1000,"Masonry",1979,1,FALSE,86.3,1,2.8,"X",FALSE,2398,1,0.439431536244229,1,0.109931177889,0.254442580558096
"141",104983,30.324396094,-81.89618527,236000,1000,"Masonry",1978,1,FALSE,89.8,1,6.1,"X",FALSE,3453,1,0.31170220207423,1,0.104229412982371,0.286544106669632
"142",104984,30.321283018,-81.89377576,258000,1000,"Wood",1988,2,FALSE,90.1,1,6.1,"X",FALSE,4456,1,0.409474952612072,1,0.0853471772158537,0.25685304662525
"143",104985,30.317612226,-81.89275664,173000,1000,"Masonry",1980,1,FALSE,90.4,3,6.1,"X",FALSE,3731,1,0.0104671118315309,1,0.0596013036355843,0.15683944424827
"144",104986,30.314841997,-81.86625115,313000,1000,"Wood",1990,2,FALSE,88,1,10.2,"X",FALSE,3224,3,0.18384952400811,1,0.0993257442335867,0.356813511034513
"145",104987,30.314205713,-81.87171125,223000,1000,"Wood",2006,1,FALSE,89.6,1,10.2,"X",FALSE,3280,1,0.842729318886995,NA,0.0361032315379275,0.116529720972354
"146",104988,30.314184,-81.87229835,216000,1000,"Masonry",2006,1,FALSE,89.1,1,9.7,"X",FALSE,3167,1,0.231161782052368,1,0.0890751809288706,0.281053230077303
"147",104989,30.314646573,-81.87321938,210000,2500,"Wood",2006,1,FALSE,87.6,1,7.8,"X",FALSE,3163,1,0.239099955651909,1,0.111619239768005,0.286544984489289
"148",104990,30.317457753,-81.87126053,198000,1000,"Wood",2007,1,FALSE,90.4,1,11.3,"X",FALSE,3952,1,0.0766911653336138,1,0.116378434817134,0.388673519926541
"149",104991,30.317595797,-81.86969652,179000,500,"Wood",2008,1,FALSE,91.6,1,12.8,"X",FALSE,4010,3,0.245723678031936,1,0.111987465619762,0.400501822146766
"150",104992,30.318435537,-81.87066455,209000,1000,"Wood",2008,2,FALSE,91.9,1,12.8,"X",FALSE,3829,1,0.73213520552963,1,0.111034880688789,0.416822388624134
"151",104993,30.318818864,-81.87281539,171000,1000,"Masonry",2007,1,FALSE,87.5,1,8.6,"X",FALSE,3257,1,0.847453165100887,NA,0.0912514663421983,0.269535869890388
"152",104994,30.318673621,-81.8723656,182000,2500,"Wood",2008,2,FALSE,89,1,9.7,"X",FALSE,3390,1,0.497527267085388,1,0.101831210583289,0.29703874698265
"153",104995,30.314072561,-81.87401468,2e+05,1000,"Wood",2006,2,FALSE,85.4,1,5.5,"X",FALSE,2864,1,0.387909029843286,1,0.102446529487953,0.295764514140612
